Nombre,LT,LB_Compromiso,LB_Antibody,NK,Infecciones,Infecciones virales severas,Afecciones celulares,Autoinmunidad,Autoinflamatorias,Broncopulmonares,Diarrea/Gastrointestinal,Hepática/Biliar,Neurológicas,Neoplasias,Dermatológicas,Adeno/Espleno,HLH / Linfohistiocitosis,Sindrómico/Defectos Innatos/Desarrollo,Cardio
Subtable 1 T-B+ SCID,"100,00","33,33","100,00","25,00","75,00","33,33","25,00","8,33","8,33","50,00","33,33","0,00","16,67","8,33","25,00","25,00","0,00","50,00","0,00"
Subtable 2 T-B- SCID,"100,00","100,00","100,00","10,00","0,00","10,00","20,00","0,00","10,00","20,00","20,00","0,00","20,00","20,00","0,00","20,00","0,00","50,00","0,00"
Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency,"88,46","48,08","50,00","11,54","67,31","28,85","23,08","19,23","1,92","23,08","15,38","13,46","11,54","13,46","15,38","1,92","5,77","0,00","2,00"
Table 1 Immunodeficiencies affecting cellular and humoral immunity,"91,78","53,42","65,75","13,70","58,90","27,40","23,29","15,07","4,11","26,03","19,18","9,59","13,70","13,70","13,70","8,22","4,11","15,07","1,41"
Table 2 Combined immunodeficiencies with associated or syndromic features,"52,91","43,60","63,37","5,81","52,33","16,28","23,26","15,12","2,33","11,63","19,77","8,14","38,37","19,77","32,56","1,16","1,16","60,47","16,28"
Subtable 1 Agammaglobulinemia,"7,14","100,00","100,00","0,00","100,00","14,29","14,29","7,14","0,00","0,00","7,14","0,00","7,14","0,00","7,14","0,00","0,00","21,43","7,14"
Subtable 2 CVID Phenotype,"8,33","33,33","91,67","0,00","79,17","16,67","37,50","20,83","4,17","4,17","0,00","16,67","16,67","12,50","16,67","8,33","4,17","4,17","0,00"
Table 3 Predominantly Antibody Deficiencies,"8,93","48,21","92,86","0,00","73,21","12,50","19,64","12,50","1,79","1,79","1,79","7,14","12,50","7,14","8,93","7,14","1,79","10,71","1,79"
Table 4 Diseases of Immune Dysregulation,"54,79","21,92","23,29","0,00","34,25","28,77","42,47","43,84","1,37","4,11","23,29","8,22","1,37","19,44","17,81","28,77","21,92","15,07","1,37"
Table 5 Congenital defects of phagocyte number or function,"2,08","4,17","4,17","0,00","20,83","2,08","100,00","0,00","14,58","2,08","4,17","12,50","18,75","6,25","6,25","0,00","0,00","39,58","4,17"
Table 6 Defects in intrinsic and innate immunity,"16,67","5,56","4,44","3,33","40,00","37,78","17,78","1,11","6,67","1,11","4,44","4,44","7,78","4,44","8,89","2,22","3,33","10,00","0,00"
Table 7 Autoinflammatory Disorders,"12,00","8,00","6,67","4,00","5,33","1,33","34,67","16,00","60,00","5,33","18,67","6,67","9,33","4,00","40,00","1,33","5,33","10,67","1,33"
Table 8 Complement Deficiencies,"0,00","0,00","0,00","0,00","77,78","0,00","2,78","25,00","2,78","2,78","2,78","22,22","0,00","0,00","8,33","0,00","0,00","0,00","0,00"
Table 9 Bone marrow failure,"79,55","86,36","2,27","54,55","0,00","0,00","13,64","0,00","0,00","25,00","54,55","77,27","70,45","0,00","77,27","0,00","0,00","90,91","45,45"
